ID Post,User Name,Comments,Sentiments,Sentiment_Predicted
2,Ÿõn És,اصلحوا شبكة رحمة على والديكم,Negatif,Negatif
2,Kh Khaled,احتاج إنترنت تمشي عادي,Neutre,Neutre
2,Sid Ali Haciane,شبكة جازي لا يوجد وليدوني لا يوجد,Negatif,Negatif
2,Àyõub Ĥaňni,اريد طرح شكوا,Negatif,Negatif
2,Špįrîtûål Wølf,connexion zero service zero,Negatif,Negatif
2,Teddy Kama,good evening and سعيدة جديدة سنة we were impressed by a brand of telephone it is yotaphone i think you will be too if you bring it back to us here quite simply because this telephone is expressed by these two faces,Positif,Positif
3,أبو ياسر,هل من عروض جديدة وقويـة,Neutre,Positif
3,ßa Lim,الرجاء وضع خيار خروج الاجهزة الاخرة من الحساب على تطبيق جازي اب لكي عندما يدخل شخص برقمنا على التطبيق مراح يسرق فلوسنا كلكم اعملو لايك لكي يشوفو تعليق ويديررونا هاذا لخيار وشكرا,Neutre,Negatif
3,يو سف,أي مسابقات إلى كوتديفوار في دور 16 ثمن نهائي ول,Neutre,Positif
3,Walid Taibi,dirolna djezzy win ch7al nhabo machi lazem 1 fois f la semaine wla rej3o 6 giga,Neutre,Negatif
3,Anes Boukhatem,djezzy عندما قلتم معاها تقدر ما غلطتوش جازي معاها تقدر صح,Positif,Positif
3,عبداللطيف عبد اللطيف,اريد نشري لبيست خاص ب جازي ماذا من عرض لمليح,Neutre,Positif
3,Mohamed Riyad,في fin hmdlh jazt bien djezzyriyad mahrez,Positif,Positif
3,كادي بسام,سلام الكونيكسيون عندي ضعيف بزااف التطبيقات ليسو يعمل الا الفيس رسالتكم في خاص لم ترد عليا,Negatif,Negatif
3,Amïne Zērmaņì,djezzy,Positif,Neutre
3,シ シ,ممكن حل مشكلة شبكة ثقيل فلابيس,Negatif,Positif
3,سهام الدعاء,كي تشري شريحة ومنبعد ما لا تفتح بعد مرور خمس ساعات ما هو افعل,Neutre,Negatif
3,راني نعاني,انه قريب رمضان يجب افعلو انترنت مجانا,Neutre,Positif
3,Ńæbįl Rb,كيف أربح رصيد تعبئة وأحوله إلى انترنت,Neutre,Neutre
3,Peniel Kenny Samba,"djezzy meilleur de meilleur, meilleur meilleur meilleur pour toujours sauf-que tu reponds pas في prive!",Positif,Positif
3,خلاصي محمد الشريف,صراحة عندي ميمبا شهر من لي درت شريحة جازي علاجال الكونيكسيو لكن كيف كيف كي هي كي اوريدو فيزوج مكان مكان فالكونيكسيو صح الهضرة حسن لكن انترنت .,Negatif,Negatif
3,Abdo Gros,slvp t3icho machi chwiya chta trou7 lzem maintenant lwa7ed idir deux puces?! et zid 3lch la connexion trou7! je me souviens ya5lss chhar wa mat5lsch!,Negatif,Negatif
3,Menad Misraoui,افعلو لنا جازيwalk win ماشي يجب خطرة في الأسبوع ولا رجعولنا 6go,Neutre,Positif
3,Merdaci Abdallah,"dirona des offres mla7 ,rani nflixci 400 alf fi chehar w mtkfich",Negatif,Positif
3,Sofiane Sn,w9tach dirulna scan jdid,Neutre,Positif
3,Nøüfêl Kø,عروض امتياز ؟,Neutre,Positif
3,Bogoosa La Brune,حبسو سرقة يا سراقين لزنيتي يروحو بدون سبب ما تحشموش تكسبو في دراهم لحرام لعنة الله عليكم يجب وقفة احتجاجية ضد جازي السراقين,Negatif,Negatif
3,Ange Ange,نقصتو كثيرا ليجيقا وزدتو في الدراهم كنتو افعلو عروض c.est trop,Negatif,Negatif
3,نو نو,كيف نخدم بتطبيق جازي,Neutre,Positif
3,Hamza Asadullah,كنتو ملاح بديتو تفسدو,Negatif,Negatif
3,أحمد فيراس,تم,Neutre,Positif
3,Gestion Dbms,نريد عروض جديدة,Neutre,Positif
3,Fouad Bkm,حولت شبكة izzy إلى هايلة كثيرا بالغلط اريد العودة إلى izzy ماذا افعل,Neutre,Negatif
4,فاروق فاروق,جازي عام سعيد علينا وعليكم خواتي معها نقدر نعيش شكرا افضل انترنت,Positif,Positif
4,Djamel Amer,اسقاس امقاز عامر خير ان شاء الله ملءه الفرح والسرور والخيرات والبركات الهما احمى وطننا من كل الشواءب والغدر والخيانة الهما امين عامر مبارك على الجميع,Positif,Positif
4,Siradj Din Ben,أسقاس أمقاز ،عام سعيد ملؤه الصحة والهناء على جميع أبناء هذا الوطن ،ويا حبذا لو تكرمت شركة جازي وأهدت لزبائنها بونيس إحتفاء بهذه المناسبة,Positif,Positif
4,داني نور غروس,جازي عام سعيد علينا وعليكم خواتي معها نقدر نعيش شكرا افضل انترنت,Positif,Positif
4,Tarek TK,assegas amegas a vous aussi,Positif,Positif
4,Sofiane Aissat,assegas amegas tous,Positif,Positif
4,Mo Mahour,assegas amegas,Positif,Neutre
4,Naouel Messaoui,assegas amervouh inch allah,Positif,Positif
4,Cheddad Kada,assegas amegas,Positif,Positif
4,Nãïmø Bëdjîh,assegas amegas a djezzy,Positif,Negatif
4,Ben Yac,𝗔𝗦𝗦𝗘𝗚𝗔𝗦 𝗔𝗠𝗘𝗚𝗚𝗔𝗭,Positif,Positif
4,Djaat Nadir,و نتوما ماديروش مسابقة؟,Neutre,Positif
4,Zidane Djebbari,assegas ameggaz,Positif,Negatif
4,Kamel Fraouti,اسقاس امقاز,Positif,Negatif
4,Detekl Adz Bensmail Milad,assegas amegase,Positif,Neutre
4,Brahimi Faiza,عام سعيد جازي,Positif,Positif
4,Moh Alger,أمين يا رب,Positif,Positif
4,Zara Harmel,امين يا رب,Positif,Neutre
4,Принц Князья,جازي افعلو هدة حسن كي شغل مسابقة ليروح يتفرج ليكيب ناسيونال في كأس إفريقيا كما جارتكم موبيلي انتم تسفادو وتفيدو المناصرين معاكم,Positif,Positif
4,ياسين ميمز - Yassine mems,و نتوما مديرولناش مسابقة ؟؟,Neutre,Negatif
4,عبد الحق,عاشت الجزائر عربية مسلمة إلى الابد,Positif,Positif
4,Ämïnë Mø,ما به تطبيق محبش يدخل,Negatif,Neutre
4,Ďøģ Māðð,تطبيقكم لا يعمل اصلحوه,Negatif,Negatif
4,فيصل محمد,ياو التطبيق ما راهش يمشي من العشية,Negatif,Negatif
4,Aymen Aymen Minou,regler connexion pour devenir connexion k l3bad,Negatif,Negatif
4,Aoudjia Aimen,اي اصلحوا تطبيق,Negatif,Negatif
4,Said Sd,سعيدة جديدة سنة,Positif,Positif
4,Kassa Slimani,اليوم وغدا,Neutre,Neutre
5,DzMa Saleh,djezzy رخفو أرواحكم شوية افعلو لنا شيء جديدة,Neutre,Positif
5,Far OUk,على الأقل افعلو شيء جميل كيما mobilis djezzy نعرفكم تقدرولها افعلو مسابقة,Neutre,Positif
5,Ahm ED,إن شاء الله,Positif,Neutre
5,Laila Meziane,inch allah,Positif,Neutre
5,Yasmine Djahed,واو احسن عرض فالعالم عرض مذهل بكل صراحة والله كنت حاسة بلي جازي رح تخرج بهدة بعد المنافسة القوية لي شفناها بين الشركات الأخرى برافو جازي الاصل والباقي تقليد,Positif,Positif
5,Sam Sam Ber,que du nouveau avec djezzy,Neutre,Negatif
5,Viaggio Tour,وشنو هو هذا الشالنج,Neutre,Negatif
5,Anis Kami,مساء النور، عندي مشكلة، الرصيد تاعي انه ينقس وحدو رغم اني ماني نعيط ما ني نشري رصيد انترنت، زوج خطرات و انا تعبئة 100دج و بعد مدة نلقاه توجور هبط وحدو إلى 11.11دج، كي كنت عاد تعبئة 1500دج ما عنديش لمشكل هذا ولا ما نفيقش، ارجو حل و شكرا,Negatif,Negatif
5,Jilali Binamer,اصلاح الا شبكة وحسنو العروض فقط,Negatif,Positif
5,Sa,"واللي عنده special او confort 20, يقدر يبدل legend?",Neutre,Positif
5,Brahim Yamine,طريقة تشغيل شريحة جازي هايلة جديدة وماهي المدة لكي يطلقوها لي البائع قالي نصف ساعة ولكن لا شيء جديد,Neutre,Negatif
5,Chafia saadi sport dz,افعلو هدة نتوما تاني وأبعتو أنصار المنتخب الوطني الجزائري لكوديفوار لكي يضغطوا على المنافسين,Neutre,Positif
5,Abdou Khelif,immigration wela puce jdida?,Neutre,Neutre
5,Safaa Amri,سقمولنا التدفق خاص ب انترنت و مبعد ابدعوا فالعروض خاص بكم لواحد تقول فالعصر الحجري 13 kb ps ؟,Negatif,Negatif
5,لازهاري بن علي,لوكان تريقلو شبكة ننطمو للعرض,Negatif,Positif
5,Kamel Trad,كيف يمكن التحويل إلى عرض لي legend,Neutre,Positif
5,BLIDA fox 24,ابعتونا لكوديفوار زكارة في موبيليس,Neutre,Negatif
5,Hachemi Laabaci,فيها 70 جيقا,Neutre,Negatif
5,Kh Fateh,american legend,Neutre,Positif
5,Lä Přįnçěssë,djezzy app pourquoi que il arret reseau na9s?,Negatif,Negatif
5,Mah Di,أي مسابقات نوض اتحرك ضحك,Neutre,Positif
5,Amel Nina,شبكة و انترنت كل ماكانش نظن نحن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif,Negatif
6,عامر ڨرڨاط,يعطيكم الصحة جازي ربي بارك فيكم,Positif,Positif
6,حمة غريب,يعطيكم صحة,Positif,Positif
6,صدى الجهوي الثاني قسنطينة,عندي جازي نورمال نقدر نستفيد من العرض,Neutre,Positif
6,Abdelkader Mährez,حسن حسن جازي حسن,Positif,Positif
6,Fadli Abdelkader,top,Positif,Positif
6,Møhamëd Elazïzï,يعطيكم الصحة,Positif,Positif
6,محمد محمد,ربي يحفظكم نتمنى عروض أفضل,Positif,Positif
6,Амин Салем,هل يمكن التحويل من جازي منفرد ؟ وشكرا.,Neutre,Positif
6,Midia Midia,خدمو وربي يوفقكم,Positif,Positif
6,Amâri kánari,شريحة جازي عندها( 18) سنة هيا عندي احسن شبكة مشكورين,Positif,Positif
6,العامرة في القلب,يعطيكم.الصحة,Positif,Positif
6,Yasser Barbeche,يعطيكم الصحة,Positif,Positif
6,Tahar Brague,عجبتني sui,Positif,Positif
6,صدى الجهوي الثاني قسنطينة,يعطيكم صحة,Positif,Positif
6,ᎥᏚᏞ ᎯᎷ,فيه خير ان شاء الله,Positif,Positif
6,Gustavo Gaviria,لماذا كل مرة يجب نشرو شريحة جديدة افعلو لنا التحويل نحو العرض,Neutre,Negatif
6,Gestion Dbms,انا عندي منفرد نقدر نستفيد من هذا العرض,Neutre,Positif
6,ياسين ميمز - Yassine mems,و لماذا مديروهالناش بـ20 دج فقط ؟ مجرد إقتراح,Neutre,Negatif
6,Younes Bzd,نشري شريحة ب100 الف فيها 60 جيغا ماذا افعل بعروض منعرفش شيء اسمها عرض,Neutre,Negatif
6,Salah Boufenara,و ما كمش راح تحشموا على رواحكم و ديرونا مسابقة كما ل موبيلس ه,Neutre,Negatif
6,Zizou Bouallegue,ديرونا هدة كيما موبيليس والكل يسافر إلى كوديفوار لتشجيع المنتخب,Neutre,Positif
6,رضوان رضوان,عرض 10دج ماذا فيه امتيازات,Neutre,Negatif
6,Bouyazd Yazda,افعلو جاست ابعثونا للكوت ديفوار كيما دارت موبيليس,Neutre,Negatif
6,Abdou Abdou,المشكل راهو في نوعية الخدمة ماشي في الكمية يعني بالدارجة 100 جيغا و الكونكسيو خردة ما ديرنا لا يوجد ملاحظة: مكان الإقامة العاصمة زعما,Negatif,Negatif
6,الفتى المتواضع,مكان لا انترنت ولاهم يحزنون,Negatif,Negatif
6,Sali Mrzk,اكبر سراقين في العالم نتوما صحاب جازي .يابن عمي بكري 12go يكفيك في شهر و ضرك تنحو في ل go. 1500 دج رجعتها 30go و كانت ب40go 20دج زعما يمدولك 60go و في الحقيقة مايفوتش شهر انتهاء . و راكم تحوسو نوالو نفليكسو 2500 دج . سراقين وتحيا mobilis,Negatif,Negatif
6,Amel Nina,شبكة و انترنت كل ماكانش نظن نحن نفليكسو بدراهمنا ماراناش نطلبو عليكم,Negatif,Negatif
6,Mondher Boughalem,عرض روعة لكن 100go ناقصة شوية . ديروها 120 أحسن,Positif,Positif
6,Faress Oran,سلام عليكم جازي مع كل إحترامي لكم ولكن الشبكة في حي كميل بوهران كارثية بمعنى الكلمة نحن نعاني من ضعف الشبكة ونقص في الأنترنت لدرجة شبه معدومة المهم لأي من يريد شراء شريحة جازي عليه تفكير 10 مرة قبل شرائها,Negatif,Negatif
6,Lila Kenn,نتوما جازي اكبر سراقين فالعالم كل مانفليكسي خاص ب شهر تدوهالي في 15 يوم سراقين,Negatif,Negatif
6,ßa Lim,سراقة سرق فدراهم,Negatif,Negatif
6,Islame Gh,أفشل شبكة,Negatif,Negatif
6,أيوب منتصر,شبكة اجيزي شبكة سقموهلنا الرحمة على الوالدين نحن نفليكسو 60 جيجا مرانا نديرو بيها لا يوجد ها اصلحوا روحكم فريزو والعرض ساهلين ساع وشكرا,Negatif,Negatif
6,Youcef Ait Belkacem,veuillez nous regler la couverture du reseau après faites l offre que vous voulez je serai le 1er a prendre,Negatif,Negatif
6,صلاح الدين,انا 20جيقا ومتخلصش هي كارثة انترنت المشكل ماش في كمية انترنت المشكل في سرعة تدفق انترنت,Negatif,Negatif
6,قاسم بن محي الدين,غالي,Negatif,Positif
6,حمزة فريد,عروض مغرية ولكن للأسف التغطية لا توجد,Negatif,Negatif
6,Ahç Enĕ,تقدم عرض ولا زوج ولا 100 خدمة رديئة و متعامل سيء شغل دراهم تعبئة راني نلقاهم في طريق خافوا ربي سبحانو,Negatif,Negatif
6,Maache Yasser Nedjmeddin,علبيها شبكة لا يوجد والكونيكسيون مايتة دراهمنا خلاصتو بيهم رياض محرز في ذا الاشهار,Negatif,Negatif
6,Djaafar Djaafar,لماذا ماحبيتوش تحشمو وتقادرو رواحكم.الريزو ماكانش لاكونيكسو عيانة تقول فكرون يتمشى الخدمات سيئة وبالمعرفة كرهنا من الشكاوي عيب عليكم.ومانيش محتاج تقول ارواح للخاص,Negatif,Negatif
6,Hamid Karimia,تغطية نتاعكم ناقصة كثيرا عروض الا مقنعة,Negatif,Negatif
7,سطيفtv,شكرا لطاقم djezzy على كل المجهودات المبذولة المعجبين,Positif,Positif
7,ألجزاإري لمتواضع,أتمنا لكم نجاح وتوفيق وسعاده في هذا لعام لجديد عام سعيد وكل عام وأنتم بخير وشكر لكم جميع,Positif,Positif
7,Izmir Turk,بالتوفيق للجميع أن شاء الله,Positif,Positif
7,Saad Nabile Bagua,le meilleur reseau d algerie pour les appels et internet vive djezzy,Positif,Positif
7,Ńæbįl Rb,جازي أتمنى لكم التوفيق الدائم إن شاءلله,Positif,Positif
7,العامرة في القلب,بالتوفيق,Positif,Positif
7,محمد لعكرمي,رائع جدا مشاركات ومسابقات,Positif,Positif
7,Abed Selli,جازي legend شريحة جديدة؟,Neutre,Positif
7,Mahi Kassis,نقدر نحول من جازي هبال لعرض جازي legend,Neutre,Positif
7,Prĩęn Cêssë,مازالت كاينة djezzy انا عندي بصح ماعدتش نستعملها لا شبكة لا انترنت لا شيء حسن فيها كل غالي,Negatif,Negatif
7,Boyosef. TV,دعمونا,Neutre,Positif
7,Saad Zergot,اريد التحويل إلى العرض الجديد legend ..,Neutre,Positif
7,Yanise Yanise,هل استطيع تحويل جازي هايلا إلى جازي go ؟,Neutre,Neutre
7,Khaled Nemouchi,اليوم انترنت صفر لماذا نخسروا في دراهمنا لكي يكون هذا هو الاداء والله عيب وحرام عليكم يجب محاسبة المتسبب وتعويض العملاء,Negatif,Negatif
7,Dalila Bett,دايما من هذا الوقت لغايه ال 11 في الليل الكونيكسيو تولي تروح وعلاش نحن ناكتيفو نحبسوها خير,Negatif,Positif
7,Yass Ine,لكان تفرحونا فالخدماا ت بارح راحتلي 20gنحاوهالي وصراتلي كم من خطرة,Negatif,Positif
7,Samir Koussa,أسوأ متعامل و أسوأ خدمة.. نعيطولكم أكثر من 15 د و ما كانش الذي يرجع ؟,Negatif,Negatif
7,عبد الله الجزائري,عندي 20 جيغا ما بغاوش يمشيو لماذا djezzy,Negatif,Negatif
7,Amine Jijel,نقدر نحول من منفرد لجازي legend,Neutre,Positif
7,ادم ادم,كم سعر شريحة جازي legend,Neutre,Negatif
7,Habib Charif,ماهو عرض هبال ارجو الافادة من فضلكم الأخوة الكرام جازي,Neutre,Positif
7,Salah Belkhir,est ce que il il y a possibilite de migrer vers cette offre,Neutre,Positif
7,عبد الرحمان عبدو,التغطية منعدمة كيف نستفيد ؟,Negatif,Negatif
7,Hocine Jo Ker,الكونكسيو في حالة,Negatif,Negatif
7,Alya Alya,سعر الشريحة من فضلكم ؟,Neutre,Negatif
7,فاروق فاروق,خواتي جازي هل متوفر عندي عرض خاص بي في شرحتي,Neutre,Positif
7,Abdelbassat Chefa,سومة؟,Neutre,Neutre
7,فردوس جنة,من يحطلنا العروض من فضلكم 120شحال فيها من ج,Neutre,Negatif
7,Arab Amar,جازي بكري كانت حسن بصح ذروك صبحت تسرق بدون شفقة ولا رحمة هلكوني بسريقات والخدع.هذه آخر مرة مع جازي باي باي . j ai active 20 da pour 70 go et illimite au djezi ils m ont fait active a me sanctionner de 30 go sans appel pour 30 jrs sous pretexte qu ils me doivent 30da alors que j avais في mon solde avant l activation 15da et encore malgre les 30go et ca marche pas jusqu a ce qu il me vide mon solde par de leurs escroquerie . dommage j ai pas le temp de deposer plainte contre cette flagrante escroquerie,Negatif,Negatif
8,Amine Ben,من الاحسن كل الشرائح تستطيع الاستفادة من هذا العرض ليس جازي هبال فقط,Positif,Positif
8,زين الدين ابن البوادي,والمدة الزمنية المحددة للمكالمات والانترنت في هذه الشريحة الجديدة,Neutre,Negatif
8,Yacine Yacine,est-ce que c est une autre puce ou juste un choix a faire dans les menus du forfait legende ??,Neutre,Neutre
8,سفيان سفيان,تخفيض في اسعار,Negatif,Positif
8,فضاء أخبار وتطبيقات العالم الرقمي,الشبكة عندنا ضعيفة لا انترنت ولا مكالمات تواصلنا معكم وقمنا بالإجراءات الكتابية التي طلبتموها لكن لا حياة لمن تنادي,Negatif,Negatif
8,المتوكلة على الله,dima تعبئة مية ولا مية وعشرين تقعدلي انترنت الا ثلاث ايام ولا ربعة لم افهم لماذا ضرك اي راحتلي والله عييت لنفليكسيها تروح نتمنى تردو,Negatif,Negatif
8,مغيث بالله,لماذا تم الغاء عرض امتياز 1200دج.؟!,Neutre,Negatif
8,Nacer Nacer,اريد معرفه المزيد عن جازي هبال من فضلكم,Neutre,Positif
8,Karim Pharm,سلام عليكم، ممكن تغير نحو العرض الجديد دون تغيير الرقم ؟,Neutre,Neutre
8,Blg Mohamed,يوجد زوج عروض خاص ب 20دج واحد فيه 60 جيقا والثاني 70 جيقا السؤال هل سرعة انترنت نفسها؟,Neutre,Positif
8,Morkane Abderraouf,تذبذب و انقطاع تام لشبكة الإنترنت (مناش نطلبو عليكم ريقلوها ),Negatif,Negatif
8,Salah Belkhir,comment migrer vers cette offre,Neutre,Negatif
8,Saddam Djalal,اريد تحويل عرضي من djezzy special إلى djezzy legend ماذا افعل?,Neutre,Positif
8,Rachid RS,سلام عليكم جازي نقدر نبدل جازي منفرد إلى جازي ليجوند ؟,Neutre,Positif
8,Abdnr Madrid,كيف يمكنني تحويل عرض djezzy hayla bazaf إلى legend,Neutre,Positif
8,Føũdî Mõhámèd,نقدر نحول جازي هيلة الذي جازيelgend ؟؟,Neutre,Positif
8,Fatah Kamla,عند رقم 0771 نقدر افعل العرض هذا فيه؟,Neutre,Positif
8,BE Moh,هل ارقام 0771 0772 موجودة,Neutre,Neutre
8,Louis RI,عندي شريحة هل أستطيع تحويلها,Neutre,Positif
8,Amine Bien Aime,مالقري هي معيتني بصح نبقى نعشق في جازي,Positif,Positif
8,أحمد فيراس,تحيا الجيزي هبال,Positif,Positif
8,Lux zawali,نحو تصويرة خاص ب محرز نشريها عليكم,Neutre,Negatif
8,Zenati Omar,هي انتهاء بسرعة انترنت لماذا,Negatif,Negatif
9,Ahm ED,مميز,Positif,Positif
9,محمد بوطرفة,نرجو أن يكون العرض في كل الشرائح جازي لكي لا نضتر لتغير الرقم كل مرة,Neutre,Negatif
9,Toufik Tfk,يرجى اتاحة التغيير إلى هاته الشريحة دون شراء واحدة جديدة ورقم جديد وشكرا,Neutre,Positif
9,Amine Belhadj,المشكل خاص ب انترنت جازي هي بطء في المساء ليت تبغي تتفرج بيها مباراة لا تعمل,Negatif,Negatif
9,JIJEL TV,انترنت في جازي تقول هي تمشي بالفحم في ولاية جيجل,Neutre,Negatif
9,Rachid Bouteraa,انترنت ضعيفة جدا في شراءح جازي,Negatif,Negatif
9,Mou Ssa,اصلحوا شبكة,Negatif,Negatif
9,Malik Bouzaréah,يرجى اتاحة التغيير إلى هاته الشريحة دون شراء واحدة جديدة ورقم جديد وشكرا,Neutre,Positif
9,Hidous,"a 05 km de tizi ouzou au lotissement salhi 2 kadem,il n il y a ni reseau pour appeler et idem pour l internet. nous ne sommes pas a milles km,mais a 05 km de l agence djezzy de la nouvelle ville tizi ouzou.",Negatif,Negatif
9,عصام عصام,شبكة جازي ناقص كثيرا لا يوجد تغطية في كثيرا اماكن,Negatif,Negatif
9,Abderrazak Charif Charif,djezzy هل توجد شريحة esim,Neutre,Neutre
9,MeGhni KhaLid,سلام هل يمكن تغيير جازي منفرد إلى ليجاند !,Neutre,Positif
9,Khadhir Hireche,كي تسقمو شبكة تاعكم افعلو عروض جدد,Negatif,Negatif
9,Sami Patchee,شبكة جازي لا يوجد,Negatif,Negatif
9,Ali Alidi,سلام عندي جازي كونفورت 20 دج اريد تحويلها إلى جازي لوجند 20 دج كيف ؟,Neutre,Positif
9,Däh Mãn,تقدر نرجعها من hayla bezzef لdjezzy legend,Neutre,Positif
9,زواڨي بومدين,عندي عرض منفرد نقدر نبدل,Neutre,Positif
9,Mohamed Mohmed,الرجاء المساعدة في تشغيل هذا العرض من فضلكم,Neutre,Negatif
9,أمهاتي سر سعادتي,كيفاه نبدل من جازي منفرد لعرض آخر,Neutre,Positif
9,Abdeldjabar Boudab,n9der nbdel mn spiciel l legend wela non,Neutre,Negatif
9,Guidouche Chorouk,كيف نبدل من ايضا لعرض اخر,Neutre,Positif
9,Khaled EL Walid,رجعوالي عرض 600 خاص ب امتياز راني اجد فقط 800,Neutre,Negatif
9,Mohamed Said,لا يوجد الريزو.,Negatif,Negatif
9,طواهري مختار,رجعولنا عرض إمتياز 600 و800,Neutre,Positif
9,Abderrahmen Chibani,cbon je suis le premier a declancher cette offre c est formidable,Positif,Positif
9,Tóùk Mohamd,نطالب باعطاء حق تبديل من izzy إلى الأنواع الاخرة,Neutre,Negatif
